language;task;method;clean-subset-size;mean-f1;std-error;seeds;f1-values
Hausa;topic;XLM-RoBERTa + distant + cm;700;0.7287801476519893;0.007866920201358468;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.7080367778834495, 'removed-converged-only-majority-classes-on-dev', 0.7264250413666717, 'removed-converged-only-majority-classes-on-dev', 'removed-converged-only-majority-classes-on-dev', 0.733320167907112, 0.7253566456043603, 'removed-converged-only-majority-classes-on-dev', 'removed-converged-only-majority-classes-on-dev', 0.757092926822158, 0.710232364854279, 0.7609167160688527, 'removed-converged-only-majority-classes-on-dev', 0.7451990674947091, 'removed-converged-only-majority-classes-on-dev', 0.6744690847303654, 0.7467526837879349]
Hausa;topic;XLM-RoBERTa + distant + cm;900;0.7409928378086779;0.007752863612096062;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.7462119536064635, 'removed-converged-only-majority-classes-on-dev', 'removed-converged-only-majority-classes-on-dev', 'removed-converged-only-majority-classes-on-dev', 0.7393521186693087, 0.6896472180339495, 0.7227539906712249, 'removed-converged-only-majority-classes-on-dev', 0.7184809642635176, 0.7461178278328041, 0.7717455098677393, 0.7774146182355532, 'removed-converged-only-majority-classes-on-dev', 0.755221209357789, 0.7429829675484289]
Hausa;topic;XLM-RoBERTa + distant + cm;2044;0.8177453447795164;0.00484517485793171;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.8207351824671284, 0.8222106619424401, 0.8292800734247835, 0.7960011029374352, 0.8091878264627211, 0.8061697981692083, 0.8329962495381098, 0.8139398612939508, 0.7990422200947241, 0.8478904714646631]
Hausa;topic;XLM-RoBERTa + distant + cm-smooth;10;0.2596025937230882;0.013419101991343123;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.3084117670577196, 0.3448119016672027, 0.2716462035494132, 0.2798105271615883, 0.2559705663341041, 0.2646216491753438, 0.2151628323121233, 0.22556628470378043, 0.23321224129472876, 0.19681196397487813]
Hausa;topic;XLM-RoBERTa + distant + cm-smooth;100;0.6174248264925793;0.01740669617015622;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.5839211475002577, 0.6191464447851718, 0.5465388031767012, 0.5385949920202344, 0.7066761860249754, 0.6793276591639181, 0.5838381485671968, 0.6773698731473632, 0.645947626028537, 0.5928873845114377]
Hausa;topic;XLM-RoBERTa + distant + cm-smooth;300;0.6801090631095297;0.01056192102642261;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.7011031418732367, 0.7190201642623911, 0.6573742416242141, 0.5941418932724668, 'removed-converged-only-majority-classes-on-dev', 0.681360896841023, 0.7032029724762935, 0.6654202367753104, 0.6967591303395507, 0.6938627393721651, 0.6888452142586463]
Hausa;topic;XLM-RoBERTa + distant + cm-smooth;500;0.713724410684802;0.008302943073576015;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];['removed-converged-only-majority-classes-on-dev', 0.7308168109864219, 0.688135024384002, 0.7098276290074919, 0.7598359898575101, 0.6939358989186569, 0.6739535743793041, 0.7162680545390697, 'removed-converged-only-majority-classes-on-dev', 0.7076104456236055, 0.7023940870859278, 0.754466592066029]
Hausa;topic;XLM-RoBERTa + distant + cm-smooth;700;0.7262021517146959;0.005606313535589718;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.7427984847781605, 'removed-converged-only-majority-classes-on-dev', 0.748222966772257, 0.7223353554040506, 0.7119504431491052, 0.7129914994869819, 'removed-converged-only-majority-classes-on-dev', 0.7126716401458837, 0.6918335329334898, 0.7332857065037384, 0.7403550988564715, 0.7455767891168215]
Hausa;topic;XLM-RoBERTa + distant + cm-smooth;900;0.7431408018222251;0.007035605755574994;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.7133911003634352, 0.7429687873126267, 0.7221420874026026, 0.7203825368388266, 0.7869575149511421, 0.768450041455066, 0.741851343575212, 0.7271291898159307, 0.7590035428552704, 0.7491318736521387]
Hausa;topic;XLM-RoBERTa + distant + cm-smooth;2044;0.7518101146699361;0.060788963873472775;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364];[0.8082986383934165, 0.8091886728449289, 0.8142099180087077, 0.8246661454654336, 0.8220833950900976, 0.8184389597634739, 0.1755476910719511, 0.8066208487998947, 0.809172083639456, 0.8298747936219997]
Yoruba;topic;mBERT;10;0.25566830293167614;0.010904919591856537;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.26262227256228804, 0.24930507440788288, 0.17850847850404997, 0.270547637235355, 0.233388928820431, 0.2787152606131286, 0.25218002456858135, 0.298875583519383, 0.3016003858723814, 0.2309393832132804]
Yoruba;topic;mBERT;100;0.5284714756466852;0.012112240659226538;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.5313010257384705, 0.5540805421042203, 0.5087881723045619, 0.5247798037100176, 0.4233121710951623, 0.534317675397982, 0.5409718635857929, 0.555170408748989, 0.5479735592522998, 0.5640195345293553]
Yoruba;topic;mBERT;300;0.6553723448653865;0.007698449555639651;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.6561552496483082, 0.6878746279258731, 0.627291324232576, 0.6119842096226629, 0.6482101118031763, 0.6350034719473351, 0.672878131112249, 0.6545708857329541, 0.6904658508553226, 0.6692895857734074]
Yoruba;topic;mBERT;500;0.6925664293115126;0.004491424324733865;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7009053594691412, 0.6910541566657008, 0.674661265697895, 0.6874827061013745, 0.6885339040205954, 0.6891686222618368, 0.6770890751212565, 0.682783207611563, 0.721610605668512, 0.7123753904972516]
Yoruba;topic;mBERT;700;0.7020975651381727;0.004687318395344405;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.681822851783516, 0.6948022851946863, 0.6996554355111133, 0.704943227886023, 0.686513979442504, 0.735090138936561, 0.7199885984619571, 0.701178658701166, 0.7029864203261409, 0.6939940551380587]
Yoruba;topic;mBERT;900;0.7341039503895853;0.004548963904215167;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7314345000149065, 0.7454854309028968, 0.7174951345143504, 0.7436517119854904, 0.7180370331211267, 0.7450066787805323, 0.7541086138737414, 0.7333626394437582, 0.7444476321314148, 0.7080101291276362]
Yoruba;topic;mBERT;1339;0.7486904395964115;0.003467122883247159;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7440908294421631, 0.7368973283238365, 0.7371659937015094, 0.7555490699837767, 0.7626603459575746, 0.7651311956602508, 0.7404843259678153, 0.7339104299122251, 0.758492223137293, 0.7525226538776708]
Yoruba;topic;mBERT full-dev-set;10;0.2851206458539987;0.006259852716741343;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.28013614014081184, 0.2913012229634921, 0.2854228389955474, 0.33012646367714127, 0.252043183452951, 0.30021326933520504, 0.2645658196320106, 0.28899420013548405, 0.27966852381100404, 0.27873479639634]
Yoruba;topic;mBERT full-dev-set;100;0.5464193808894311;0.0048170023444696446;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.5424898700416938, 0.5531830656122296, 0.5265477615418434, 0.5247798037100176, 0.5585155314192113, 0.5312732385050755, 0.5433798514168636, 0.5719209814059462, 0.5466937481721966, 0.5654099570692322]
Yoruba;topic;mBERT full-dev-set;300;0.6640153522491987;0.0063156060824042645;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.6638133279406676, 0.7062352673576153, 0.6366212051389765, 0.6626241722462825, 0.6548018860451839, 0.6621675378036675, 0.6446977784087826, 0.6488091264270022, 0.6910936353504024, 0.6692895857734074]
Yoruba;topic;mBERT full-dev-set;500;0.700661110153686;0.005580573931232402;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7231993635857851, 0.6910541566657008, 0.674661265697895, 0.6874827061013745, 0.6885339040205954, 0.6871390590642449, 0.7272093653224989, 0.6933452849130016, 0.721610605668512, 0.7123753904972516]
Yoruba;topic;mBERT full-dev-set;700;0.7125204563780239;0.0056104291461133654;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.681822851783516, 0.7209043730823802, 0.7169197059884361, 0.704943227886023, 0.7377437439362379, 0.735090138936561, 0.7199885984619571, 0.6869020438705539, 0.7202427507868391, 0.7006471290477353]
Yoruba;topic;mBERT full-dev-set;900;0.7328837476935837;0.007071250868463374;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7261677082879486, 0.7454854309028968, 0.7174951345143504, 0.7130681905248205, 0.7180370331211267, 0.7861885514214777, 0.7541086138737414, 0.7333626394437582, 0.7269140457180798, 0.7080101291276362]
Yoruba;topic;mBERT full-dev-set;1339;0.7486904395964115;0.003467122883247159;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7440908294421631, 0.7368973283238365, 0.7371659937015094, 0.7555490699837767, 0.7626603459575746, 0.7651311956602508, 0.7404843259678153, 0.7339104299122251, 0.758492223137293, 0.7525226538776708]
Yoruba;topic;mBERT distilled;10;0.22909396488694522;0.014567931298819935;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.22192913145109322, 0.13820489784844994, 0.1970062490419192, 0.22784168865435359, 0.31918311399574334, 0.20791842384989073, 0.27496966822933555, 0.20770085073890576, 0.2519978697970726, 0.24418775526268816]
Yoruba;topic;mBERT distilled;100;0.48903717744241637;0.009000564422641463;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.5063938644813316, 0.49960696271117633, 0.5085524237320953, 0.5377750478046268, 0.4545184776594903, 0.4453185467877581, 0.45698048121513485, 0.4863301852567713, 0.4793852642663324, 0.5155105205094472]
Yoruba;topic;mBERT distilled;300;0.6574343265393746;0.004822489693813932;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.6733252212392328, 0.6839266345033882, 0.6620497239822111, 0.6290711960927657, 0.6595933114142929, 0.6352872912218585, 0.6530116695073516, 0.6580195106880412, 0.6571151078865944, 0.6629435988580097]
Yoruba;topic;mBERT distilled;500;0.6888525787074983;0.005302690419875841;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7227628343567483, 0.6806197329096537, 0.7085741362840547, 0.6829315999483431, 0.6714433396990411, 0.6769606231703723, 0.6935812523351237, 0.6792031148095332, 0.6689563392817068, 0.7034928142804052]
Yoruba;topic;mBERT distilled;700;0.7053884158453272;0.004371923555638612;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7284925225406554, 0.7145288161490738, 0.7103498142490852, 0.6910797205499302, 0.6933403292462693, 0.699965001293707, 0.7287134540698461, 0.6943351172052092, 0.6907402010358255, 0.7023391821136705]
Yoruba;topic;mBERT distilled;900;0.7184019284084407;0.004135031996673216;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7289202973943452, 0.7306009940097752, 0.7165485670215231, 0.7106843333641619, 0.7109808819361285, 0.7088552321574737, 0.6921798671278273, 0.715473013305785, 0.7357332511670125, 0.7340428466003754]
Yoruba;topic;mBERT distilled;1339;0.7425256514867333;0.0026967692926178114;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7542951511440181, 0.7423881440847351, 0.7222999111406098, 0.7454866629248619, 0.7403113546729738, 0.7483776162974303, 0.7527793048908066, 0.738209260424345, 0.740254070019672, 0.7408550392678803]
Yoruba;topic;mBERT + en-data (zero-shot);0;0.020761978387644323;0;[12345];[0.020761978387644323]
Yoruba;topic;mBERT + en-data (few-shot);10;0.28178158331518366;0.013804615642849133;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.32526070892606307, 0.21041947057480326, 0.35375967611379183, 0.23438740615443013, 0.3022459302215581, 0.2625305350336914, 0.28002599079527263, 0.28691936095876225, 0.237389861247049, 0.3248768931264154]
Yoruba;topic;mBERT + en-data (few-shot);100;0.3596781798102518;0.019945984944961123;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.37329397740004794, 0.22104925675119466, 0.39088384651500885, 0.36491786342532073, 0.3264435394439984, 0.4780092155511684, 0.31451256959141266, 0.35277891267337175, 0.3695135189971473, 0.40537909775384684]
Yoruba;topic;mBERT + en-data (few-shot);300;0.5661583737143214;0.0062384244945922485;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.5268531347712327, 0.5809289454355738, 0.584347722264779, 0.5735347261610813, 0.6035771684357313, 0.5593895416504319, 0.5589970736216964, 0.5632559259360396, 0.5567841514495145, 0.5539153474171346]
Yoruba;topic;mBERT + en-data (few-shot);500;0.6298433933486214;0.005923465403218172;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.6408954222897886, 0.6636009930623804, 0.636254120289223, 0.5920063902804631, 0.6471582795333499, 0.6107603593425683, 0.6316226057769606, 0.6244435524549736, 0.6306438735340427, 0.6210483369224632]
Yoruba;topic;mBERT + en-data (few-shot);700;0.6700241289486539;0.006030586423980775;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.663681798137359, 0.684103270405469, 0.6607016346289674, 0.6847410473293769, 0.6930371035685489, 0.6897144539711362, 0.6697154250295541, 0.649871061110989, 0.6284035693500178, 0.6762719259551222]
Yoruba;topic;mBERT + en-data (few-shot);900;0.686153768657429;0.0055413317002428195;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.6604732735078214, 0.6947195472147524, 0.7137972986258061, 0.695220976878095, 0.6754117893988448, 0.6748061294501247, 0.7020065133236988, 0.6632940239341919, 0.6762714127722845, 0.7055367214686711]
Yoruba;topic;mBERT + en-data (few-shot);1339;0.7210109649893915;0.004041576764643242;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.7240969809991601, 0.7266415742294513, 0.7356128209900951, 0.7242356184973011, 0.7232103330801389, 0.6893061996292444, 0.7132130183655279, 0.7114540635527954, 0.7312924758943516, 0.7310465646558504]
Yoruba;topic;mBERT + distant;10;0.3022945717201021;0.015226599855347576;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.22053083172285087, 0.34921463702885064, 0.34676517150395775, 0.29874998097574185, 0.345017051888724, 0.3671379881824921, 0.254533314305489, 0.2832662847295398, 0.31448105075930405, 0.24324940610407048]
Yoruba;topic;mBERT + distant;100;0.5838384405087759;0.011760422691222001;[12345,12346,12347,12348,12349,12350,12351,12352,12353,12354];[0.5467230638600821, 0.6301415259299578, 0.5967964719978335, 0.5058105772431135, 0.5854071210241835, 0.6004064394724743, 0.5589916227272466, 0.6192059752946085, 0.6251743512736352, 0.5697272562646237]
